Index,STO,STODateTime,Airline,FlightNum,Departure,Arrival,Data,FirstPax,BizPax,EconPax
"0","10:18","2020-11-11T10:18:00","QG","776","ZVH","GUS","Indigo","4","4","69"
"1","10:19","2020-11-11T10:19:00","KA","401","NUS","UON","Orange","5","5","87"
"2","10:20","2020-11-11T10:20:00","GH","584","YFY","AIO","Orange","5","8","156"
"3","10:21","2020-11-11T10:21:00","RN","393","KSF","VER","Red","6","21","84"
"4","10:22","2020-11-11T10:22:00","GM","126","DZF","TJA","Indigo","1","19","148"
"5","10:23","2020-11-11T10:23:00","QE","125","WWT","EZA","Orange","1","2","102"
"6","10:24","2020-11-11T10:24:00","KJ","331","PDV","BTR","Green","2","10","37"
"7","10:25","2020-11-11T10:25:00","LP","468","RPF","QYP","Green","1","20","59"
"8","10:26","2020-11-11T10:26:00","BS","470","GGV","BLU","Yellow","0","10","154"
"9","10:27","2020-11-11T10:27:00","JT","113","YRT","LQI","Green","4","9","125"
"10","10:28","2020-11-11T10:28:00","ZM","591","VSD","TVU","Orange","2","11","52"
"11","10:29","2020-11-11T10:29:00","LJ","703","QFK","GUW","Indigo","7","15","1"
"12","10:30","2020-11-11T10:30:00","KJ","631","SEY","WPW","Green","6","23","125"
"13","10:31","2020-11-11T10:31:00","XR","895","OKS","MJH","Red","7","17","65"
"14","10:32","2020-11-11T10:32:00","DD","812","DPS","FST","Yellow","1","1","33"
"15","10:33","2020-11-11T10:33:00","JP","649","PUY","ROM","Green","6","7","86"
"16","10:34","2020-11-11T10:34:00","ED","601","DHT","BVV","Blue","5","17","186"
"17","10:35","2020-11-11T10:35:00","DT","861","EHV","NGJ","Indigo","5","16","59"
"18","10:36","2020-11-11T10:36:00","ZZ","724","ROC","WDN","Red","0","15","17"
"19","10:37","2020-11-11T10:37:00","KA","389","OVZ","XUU","Indigo","4","7","50"
"20","10:38","2020-11-11T10:38:00","YT","272","VFY","MZU","Red","0","3","33"
"21","10:39","2020-11-11T10:39:00","PV","772","PRW","OFL","Yellow","7","20","15"
"22","10:40","2020-11-11T10:40:00","ST","519","EBE","JHE","Red","7","17","159"
"23","10:41","2020-11-11T10:41:00","DD","193","PZI","JRK","Red","7","4","51"
"24","10:42","2020-11-11T10:42:00","TT","154","MGI","ADF","Blue","3","15","189"
"25","10:43","2020-11-11T10:43:00","WU","801","KTX","YVS","Yellow","0","21","100"
"26","10:44","2020-11-11T10:44:00","OL","437","HRO","ZUL","Green","1","17","157"
"27","10:45","2020-11-11T10:45:00","PR","657","XKR","YZM","Green","6","24","61"
"28","10:46","2020-11-11T10:46:00","AG","450","AIZ","QTU","Green","5","23","8"
"29","10:47","2020-11-11T10:47:00","WQ","274","LFQ","SXI","Orange","1","20","0"
"30","10:48","2020-11-11T10:48:00","KX","541","CWQ","HJO","Blue","2","10","52"
"31","10:49","2020-11-11T10:49:00","GB","169","UCZ","ZJU","Orange","6","0","71"
"32","10:50","2020-11-11T10:50:00","DH","422","SAH","FIO","Blue","1","17","133"
"33","10:51","2020-11-11T10:51:00","CQ","646","IYW","AXK","Green","6","12","28"
"34","10:52","2020-11-11T10:52:00","EV","606","QPU","BMN","Red","7","20","136"
"35","10:53","2020-11-11T10:53:00","BF","857","RJX","CKX","Yellow","5","11","72"
"36","10:54","2020-11-11T10:54:00","WA","465","TQO","EWD","Yellow","5","23","21"
"37","10:55","2020-11-11T10:55:00","KQ","275","PQS","NFV","Blue","7","17","52"
"38","10:56","2020-11-11T10:56:00","YK","698","HMY","EFX","Red","0","19","70"
"39","10:57","2020-11-11T10:57:00","KQ","788","XVG","TGN","Yellow","1","7","138"
"40","10:58","2020-11-11T10:58:00","YY","236","AFM","AJQ","Blue","0","21","172"
"41","10:59","2020-11-11T10:59:00","TU","814","MPE","VGI","Indigo","2","23","187"
"42","11:00","2020-11-11T11:00:00","SZ","121","LYO","ZTZ","Orange","0","21","160"
"43","11:01","2020-11-11T11:01:00","OT","103","TWT","BXN","Indigo","2","0","163"
"44","11:02","2020-11-11T11:02:00","ZM","480","QCV","CFT","Red","2","5","156"
"45","11:03","2020-11-11T11:03:00","OX","226","TOW","PTQ","Red","1","14","2"
"46","11:04","2020-11-11T11:04:00","PX","151","FAR","KCO","Yellow","2","9","27"
"47","11:05","2020-11-11T11:05:00","FU","604","URR","NAF","Red","6","18","80"
"48","11:06","2020-11-11T11:06:00","NL","184","JKF","ABF","Orange","1","13","9"
"49","11:07","2020-11-11T11:07:00","RU","687","ZLX","KKQ","Blue","1","21","76"
"50","11:08","2020-11-11T11:08:00","PB","883","JTH","MOE","Indigo","7","5","11"
"51","11:09","2020-11-11T11:09:00","BI","164","AOM","GQZ","Blue","2","6","135"
"52","11:10","2020-11-11T11:10:00","WI","120","XPZ","MAQ","Indigo","0","21","86"
"53","11:11","2020-11-11T11:11:00","WB","480","NVT","TJV","Red","2","15","46"
"54","11:12","2020-11-11T11:12:00","QP","716","PIR","DBL","Red","4","6","69"
"55","11:13","2020-11-11T11:13:00","AT","141","KJZ","EDQ","Orange","1","12","172"
"56","11:14","2020-11-11T11:14:00","ON","374","BHS","GJI","Indigo","1","1","124"
"57","11:15","2020-11-11T11:15:00","KS","431","KYY","GLT","Red","2","10","132"
"58","11:16","2020-11-11T11:16:00","IL","199","AKQ","CKD","Green","5","9","162"
"59","11:17","2020-11-11T11:17:00","VZ","101","RWV","ISP","Yellow","5","5","50"
"60","11:18","2020-11-11T11:18:00","FG","458","VNA","PPJ","Blue","1","8","88"
"61","11:19","2020-11-11T11:19:00","QY","292","HBS","ABC","Orange","3","1","30"
"62","11:20","2020-11-11T11:20:00","NC","889","TAK","UEK","Indigo","7","8","23"
"63","11:21","2020-11-11T11:21:00","RU","319","MET","IJF","Yellow","3","7","72"
"64","11:22","2020-11-11T11:22:00","ZE","257","DZZ","TIN","Green","4","16","153"
"65","11:23","2020-11-11T11:23:00","VN","349","GCH","YYB","Orange","6","15","10"
"66","11:24","2020-11-11T11:24:00","SS","723","ISN","KQL","Green","7","5","163"
"67","11:25","2020-11-11T11:25:00","ZP","726","DGR","VJY","Blue","0","23","54"
"68","11:26","2020-11-11T11:26:00","FJ","447","YXK","NYH","Red","4","5","152"
"69","11:27","2020-11-11T11:27:00","CG","249","KXJ","AGH","Yellow","1","22","187"
"70","11:28","2020-11-11T11:28:00","CU","635","TXS","JKI","Red","1","12","134"
"71","11:29","2020-11-11T11:29:00","OS","830","RPF","YMP","Green","1","13","173"
"72","11:30","2020-11-11T11:30:00","SY","134","XAG","AYH","Blue","2","13","18"
"73","11:31","2020-11-11T11:31:00","WW","406","TEA","XFU","Orange","2","15","148"
"74","11:32","2020-11-11T11:32:00","YZ","519","NFM","FZZ","Yellow","3","10","7"
"75","11:33","2020-11-11T11:33:00","XL","725","GZQ","DMJ","Red","0","21","74"
"76","11:34","2020-11-11T11:34:00","FQ","675","XQS","GFI","Red","3","19","96"
"77","11:35","2020-11-11T11:35:00","UI","177","WMA","IDC","Yellow","3","13","64"
"78","11:36","2020-11-11T11:36:00","RM","340","PXL","RVH","Green","2","2","141"
"79","11:37","2020-11-11T11:37:00","RE","755","PJJ","MLV","Blue","3","12","115"
"80","11:38","2020-11-11T11:38:00","CN","295","CFH","JIA","Blue","7","18","33"
"81","11:39","2020-11-11T11:39:00","ZD","641","NUV","TSI","Red","2","12","11"
"82","11:40","2020-11-11T11:40:00","AB","807","WSX","BHJ","Red","4","4","64"
"83","11:41","2020-11-11T11:41:00","ZS","446","QKX","WFK","Yellow","6","7","0"
"84","11:42","2020-11-11T11:42:00","OT","808","TKX","QDH","Orange","3","4","12"
"85","11:43","2020-11-11T11:43:00","AR","809","PAC","JLV","Red","2","17","137"
"86","11:44","2020-11-11T11:44:00","LQ","783","QSC","OSJ","Orange","3","15","137"
"87","11:45","2020-11-11T11:45:00","RO","251","SLA","MJX","Orange","2","20","64"
"88","11:46","2020-11-11T11:46:00","RY","540","SSP","ARM","Indigo","2","16","107"
"89","11:47","2020-11-11T11:47:00","IQ","393","RJM","ZHK","Blue","2","3","116"
